170908.0000.wav| 달려라 방탄!
170908.0001.wav|뭔가 놓여져 있네요
170908.0002.wav|일단 BTS 마블이라고 적혀있고 오늘 뭐 하나요?
170908.0003.wav|마블 좋지
170908.0004.wav|오늘 달려라 방탄의 주제는 마블입니다
170908.0005.wav|3천만큼 사랑해
"170908.0006.wav| 지금 본격적으로 시작하려나 봐, 지금"
"170908.0007.wav|오늘은 약간 주사위가 빽도가 있어, 빽도"
170908.0008.wav|빨리 설명을 듣고 싶은 그런 주사위입니다
170908.0009.wav|사실은 이 런던 마블이
170908.0010.wav| 우천으로
170908.0011.wav|그래서 지금 홉이 씨  벌칙도 지금
170908.0012.wav| 오늘의 상품은 끓인 라면!
170908.0013.wav|짜장라면 봐봐...
170908.0014.wav|지금 우리가 이렇게 흥분하는 이유가 뭐냐면
170908.0015.wav| 지금 이게 투어의 막바지고
170908.0016.wav|김치!
170908.0017.wav|총각 김치입니다
170908.0018.wav| 미쳐버리겠다 진짜
"170908.0019.wav| 말도 안 된다, 오늘 상품 말도 안 된다 진짜"
170908.0020.wav| 저희는 노란색이고
"170908.0021.wav|오케이! 7! 아니지, 4지!"
"170908.0022.wav|만보기 1, 이게 뭔가요?"
"170908.0023.wav| 갈게요, 준비 시작!"
"170908.0024.wav| 빨라, 빨라"
170908.0025.wav| 모터 달렸냐?
"170908.0026.wav|형, 가능해요?"
170908.0027.wav|아 힘들어!
170908.0028.wav| 몇 초예요?
"170908.0029.wav| 11,000? 11,000이 어떻게 나와?"
170908.0030.wav| 이거 제대로 때리는 게 나을 수도 있어요
170908.0031.wav|흔드는 거 아니야 이렇게?
170908.0032.wav| 형 괜찮아요! 할 수 있어!
170908.0033.wav|손을 잡아줘!
170908.0034.wav| 손을 잡아줘!
170908.0035.wav|이길 수 있어! 우리 한 번 이겨보자!
170908.0036.wav|김석진!
"170908.0037.wav| 아니야, 아니야!"
170908.0038.wav| 느려졌어! 느려졌어! 느려졌어!
170908.0039.wav|느려졌어
"170908.0040.wav| 그만, 그만!"
170908.0041.wav| 땅 사야지
170908.0042.wav| 60!
170908.0043.wav|우리가 내는 거예요?
170908.0044.wav|갈게요!
170908.0045.wav|스테
170908.0046.wav|이그
170908.0047.wav|이크! 스테이크! 스테이크!
170908.0048.wav|미국에서는 'better' 하잖아요
170908.0049.wav| 할게요
170908.0050.wav|런던
170908.0051.wav|아이
170908.0052.wav| 좋아~
170908.0053.wav| 런던 어렵다
170908.0054.wav|일단 네 글자 퀴즈 우리가 땅을 먹었고요
170908.0055.wav|갑자기요?
"170908.0056.wav| 잠들기 전에 하는 일은? 하나, 둘, 셋!"
170908.0057.wav| 눈을 감는다
170908.0058.wav|정답
"170908.0059.wav|대박이다 오케이, 오케이, 오케이"
170908.0060.wav|상관은 없는데
170908.0061.wav| 누가 하시겠습니까?
170908.0062.wav| 쉬울 것 같은데
170908.0063.wav| 호랑이!
170908.0064.wav|뭐야? 다 듣고 돌면 이렇게 돼~!
170908.0065.wav|움직이려고 할 때
170908.0066.wav|제시어가 힘든 게 아니라
"170908.0067.wav|오케이, 오케이, 알았어"
170908.0068.wav| 나 알았어!
"170908.0069.wav| 과일, 빵 하나, 둘, 셋!"
"170908.0070.wav| 하나, 둘, 셋! 하면 그냥..."
170908.0071.wav| 걸렸으면 다시인 거지
"170908.0072.wav| 하나, 둘, 셋!"
170908.0073.wav|네 글자
170908.0074.wav|슈퍼
170908.0075.wav|땡!
170908.0076.wav|난센스
170908.0077.wav| 저희가 퀴즈 내면 되는 건가요?
170908.0078.wav| 아일랜드의 수도는?
170908.0079.wav|아일랜드~
170908.0080.wav| 땡!
"170908.0081.wav| 더블린입니다, 더블링을 잘 치세요"
170908.0082.wav|올란바토르
170908.0083.wav| 4!
"170908.0084.wav| 오케이, 갑시다"
170908.0085.wav|나이스하네
170908.0086.wav| 축하드리고요
170908.0087.wav| 나 게임 안 되는 거 같아요 나
170908.0088.wav| 아니지
"170908.0089.wav|난센스 해, 하세요"
170908.0090.wav| 방탄소년단 팬클럽 아미가 갈 수 없는 산은?
"170908.0091.wav|하나, 둘, 셋!"
170908.0092.wav|아차산
170908.0093.wav|아차산을 왜 못 가
170908.0094.wav|뭐야?
"170908.0095.wav|오케이, 맞네"
"170908.0096.wav| 자, 5!"
